iter	Passed	Remaining
402	13112	3156
403	13146	3123
404	13180	3091
405	13228	3062
406	13261	3030
407	13291	2997
408	13324	2964
409	13369	2934
410	13396	2900
411	13425	2867
412	13459	2835
413	13488	2801
414	13515	2768
415	13549	2735
416	13578	2702
417	13606	2669
418	13637	2636
419	13670	2603
420	13700	2570
421	13731	2538
422	13761	2505
423	13792	2472
424	13829	2440
425	13859	2407
426	13894	2375
427	13927	2342
428	13956	2309
429	13988	2277
430	14018	2244
431	14046	2210
432	14076	2178
433	14104	2144
434	14133	2111
435	14163	2078
436	14193	2046
437	14234	2014
438	14269	1982
439	14297	1949
440	14324	1916
441	14364	1884
442	14393	1851
443	14420	1818
444	14454	1786
445	14481	1753
446	14520	1721
447	14549	1688
448	14582	1656
449	14614	1623
450	14643	1590
451	14678	1558
452	14721	1527
453	14754	1494
454	14787	1462
455	14825	1430
456	14865	1398
457	14899	1366
458	14937	1334
459	14966	1301
460	14996	1268
461	15031	1236
462	15058	1203
463	15090	1170
464	15122	1138
465	15156	1105
466	15189	1073
467	15214	1040
468	15262	1008
469	15298	976
470	15330	943
471	15364	911
472	15395	878
473	15423	845
474	15451	813
475	15486	780
476	15512	747
477	15542	715
478	15574	682
479	15602	650
480	15632	617
481	15659	584
482	15691	552
483	15722	519
484	15759	487
485	15791	454
486	15823	422
487	15853	389
488	15888	357
489	15927	325
490	15964	292
491	15992	260
492	16022	227
493	16053	194
494	16079	162
495	16108	129
496	16141	97
497	16169	64
498	16197	32
499	16226	0
