iter	F1	Logloss
167	0.8642857143	0.06410208394
168	0.8663101604	0.06393466561
169	0.8663101604	0.06367037875
170	0.8725663717	0.06293145396
171	0.8745583039	0.06185720977
172	0.8745583039	0.06181509865
173	0.8745583039	0.0616306204
174	0.8775330396	0.06135432559
175	0.8795074758	0.06066405073
176	0.8832309043	0.06016146153
177	0.8842105263	0.06002894719
178	0.8822495606	0.05971251609
179	0.8881118881	0.05934377946
180	0.8910200523	0.05884995686
181	0.8948740226	0.05840826711
182	0.8948740226	0.05817051819
183	0.8939130435	0.0576890136
184	0.8958333333	0.05690321202
185	0.9053356282	0.0561093829
186	0.9034482759	0.05595615047
187	0.9083119109	0.05504741785
188	0.9083119109	0.05501236755
189	0.9103330487	0.05436365109
190	0.9092465753	0.05377937044
191	0.9148211244	0.05340261831
192	0.9157446809	0.05271738051
193	0.9157446809	0.05264425426
194	0.9212531753	0.05209870221
195	0.9230769231	0.05189923036
196	0.9248945148	0.05166319499
197	0.9239864865	0.05163648178
198	0.9258010118	0.05146357141
199	0.9267059815	0.05116652619
