iter	F1	Logloss
0	0.009404388715	0.3653413738
1	0	0.2867466985
2	0	0.2676525392
3	0	0.2548718153
4	0	0.2440932882
5	0.003144654088	0.2394790491
6	0.02180685358	0.2334848931
7	0.04006163328	0.2314968679
8	0.04012345679	0.2282179542
9	0.05496183206	0.2257829248
10	0.07854984894	0.2217943719
11	0.07843137255	0.2206340041
12	0.09281437126	0.2197901338
13	0.09281437126	0.2197174961
14	0.09281437126	0.2178702146
15	0.1153846154	0.2169241037
16	0.1209439528	0.2165219304
17	0.1238938053	0.2143536101
18	0.1264705882	0.2127584
19	0.1374269006	0.2104529014
20	0.1346998536	0.210175362
21	0.1403508772	0.2093272793
22	0.1457725948	0.206415622
23	0.1457725948	0.2029721198
24	0.1457725948	0.2020803509
25	0.1511627907	0.2006805922
26	0.1645021645	0.200180986
27	0.1697841727	0.1991114208
28	0.175035868	0.1975969414
29	0.1828571429	0.1955621588
30	0.1697841727	0.1937508282
31	0.2011331445	0.1908363111
32	0.2137834037	0.1880867267
33	0.2162921348	0.1877020625
34	0.2262569832	0.1867694465
35	0.2336578581	0.1840464898
36	0.2626538988	0.1815065674
37	0.2693877551	0.1809882833
38	0.2713704206	0.1803386711
39	0.2791327913	0.1776546929
40	0.2837837838	0.1776322333
41	0.2837837838	0.1759744576
42	0.286099865	0.175868627
43	0.2880215343	0.1739598395
44	0.2926174497	0.1728257995
45	0.2949061662	0.1721578133
46	0.297188755	0.1711777201
47	0.3134130146	0.1692637558
48	0.3156498674	0.1692328507
49	0.3134130146	0.1690545419
50	0.3289473684	0.1673405014
51	0.3328964613	0.1650572731
52	0.3570504528	0.1616316836
53	0.3549222798	0.1597398621
54	0.3676092545	0.1583057338
55	0.3717948718	0.157861608
56	0.3738796415	0.1577895722
57	0.3883248731	0.1566983696
58	0.3883248731	0.1566457459
59	0.394437421	0.1547474416
60	0.3979848866	0.152418798
61	0.4	0.1517286798
62	0.4119850187	0.1505428442
63	0.4198757764	0.1486726203
64	0.4392638037	0.1470363233
65	0.4468864469	0.1462461544
66	0.4501216545	0.1452863564
67	0.4501216545	0.1443841607
68	0.4544349939	0.1429132267
69	0.4563106796	0.1427864107
70	0.4606060606	0.142447776
71	0.4661835749	0.1412168461
72	0.4790419162	0.1396184198
73	0.4826762246	0.1374260666
74	0.4880952381	0.1368864835
75	0.4898929845	0.1356312819
76	0.5005903188	0.1343503247
77	0.5058823529	0.1334836507
78	0.5180863477	0.1314559923
79	0.5215366705	0.131149135
80	0.5215366705	0.1310898497
81	0.5277777778	0.1292836876
82	0.5311778291	0.1284218486
83	0.5362485616	0.1268432765
84	0.556561086	0.1251518947
85	0.5630630631	0.1241586697
86	0.5646794151	0.1232179193
87	0.5723905724	0.1206071633
88	0.5873192436	0.1192557422
89	0.592920354	0.1179384894
90	0.5991189427	0.1163392523
91	0.6037321625	0.1153376006
92	0.6089813801	0.1149611513
93	0.6105032823	0.1147749984
94	0.6203904555	0.1137782278
95	0.6248648649	0.1121676666
96	0.635193133	0.1106395196
97	0.6307857912	0.1097458436
98	0.6366559486	0.1092998481
99	0.6453674121	0.1082236682
100	0.6525423729	0.1074197772
101	0.6582278481	0.106908486
102	0.6589229145	0.105635817
103	0.6631578947	0.1048553828
104	0.6631578947	0.1035247452
105	0.6659663866	0.1034892037
106	0.6825726141	0.101721823
107	0.6798336798	0.1010755469
108	0.6757038582	0.09996041945
109	0.685300207	0.09832102497
110	0.6913580247	0.09677538123
111	0.6993865031	0.09622135435
112	0.6993865031	0.09620362144
113	0.7046843177	0.09421446765
114	0.7112462006	0.09407616469
115	0.7164480323	0.09276600445
116	0.7210473313	0.09213903158
117	0.7267267267	0.09111260161
118	0.7292707293	0.09080638178
119	0.7318045862	0.09008936231
120	0.7325349301	0.08983766804
121	0.7355864811	0.08943588694
122	0.7467980296	0.08835817764
123	0.7467980296	0.08834890745
124	0.7497546614	0.08765957011
125	0.7594936709	0.08631595122
126	0.7623666343	0.08548051351
127	0.7623666343	0.08547025802
128	0.7635658915	0.08487477455
129	0.7702702703	0.08415104926
130	0.7710144928	0.08304770138
131	0.7722007722	0.08255134038
132	0.7757459095	0.0819968076
133	0.7769230769	0.08130102315
134	0.7792706334	0.08087028428
135	0.786259542	0.08022224286
136	0.786259542	0.08021367129
137	0.7874165872	0.07951854834
138	0.7965941343	0.07834739039
139	0.7947019868	0.07802095937
140	0.8003766478	0.07751003224
141	0.801505174	0.07729865113
142	0.8026315789	0.07707767044
143	0.8104575163	0.07617947023
144	0.8104575163	0.07497391458
145	0.8159851301	0.0745146077
146	0.8148837209	0.07450691509
147	0.8148837209	0.0742044021
148	0.817084494	0.07396973349
149	0.8159851301	0.0734004187
150	0.817084494	0.07292373511
151	0.8159851301	0.07282220272
152	0.8203703704	0.07199688488
153	0.832263978	0.07127398006
154	0.8354661792	0.07029074261
155	0.8354661792	0.07020134082
156	0.8418181818	0.06930655434
157	0.8457350272	0.06827107553
158	0.8425841674	0.06815426719
159	0.8446866485	0.06800345359
160	0.846781505	0.0673981866
161	0.8512173129	0.06693125678
162	0.8501805054	0.06655649855
163	0.8532853285	0.066194783
164	0.8553459119	0.06518955231
165	0.8602150538	0.0649774872
166	0.8663101604	0.06453035284
