iter	Logloss
0	0.4474616129
1	0.3462351307
2	0.300112224
3	0.2797614802
4	0.2663207843
5	0.260517795
6	0.2574166195
7	0.2545827922
8	0.2515450337
9	0.2498884258
10	0.2485999912
11	0.2457011423
12	0.2442433752
13	0.2431196009
14	0.2423726689
15	0.2411578344
16	0.2405217947
17	0.2399023188
18	0.2396194854
19	0.2389517251
20	0.2380632774
21	0.237556948
22	0.2370499356
23	0.2354817014
24	0.2353012751
25	0.2349336335
26	0.2347793874
27	0.234581356
28	0.2342284533
29	0.2339178122
30	0.2336461272
31	0.2324304942
32	0.2321931572
33	0.2318144266
34	0.2315465579
35	0.2315102102
36	0.2313744616
37	0.2306510902
38	0.229721938
39	0.2291167224
40	0.2287889725
41	0.2285097671
42	0.2278654986
43	0.2272599748
44	0.2265200897
45	0.226177798
46	0.2254503963
47	0.2248263579
48	0.2246459661
49	0.2242401401
50	0.2238600825
51	0.2230756311
52	0.222463784
53	0.2224584253
54	0.2222794856
55	0.2215280952
56	0.2212057975
57	0.2208995684
58	0.2206210525
59	0.2204055369
60	0.220300887
61	0.2200101706
62	0.2197672685
63	0.2192007561
64	0.2190513455
65	0.2188608985
66	0.2185086363
67	0.2183294194
68	0.2178360995
69	0.2173946526
70	0.2172024146
71	0.2167867919
72	0.2166889896
73	0.2163184815
74	0.2160094748
75	0.21593946
76	0.2158523674
77	0.2153579951
78	0.2152110602
79	0.2144975387
80	0.214199934
81	0.2139415008
82	0.213785322
83	0.2133832615
84	0.2132747212
85	0.2130684398
86	0.2130002637
87	0.2127725762
88	0.2120817783
89	0.2119313318
90	0.2113641906
91	0.2110195601
92	0.210617174
93	0.2101519352
94	0.2099901265
95	0.2097179665
96	0.2096050379
97	0.209472977
98	0.2092383301
99	0.2092109934
100	0.2085663218
101	0.2084919507
102	0.2081966732
103	0.2080211396
104	0.2077649912
105	0.20707645
106	0.2070459626
107	0.20669588
108	0.2064499904
109	0.2063739815
110	0.2055059214
111	0.2051713455
112	0.2050528645
113	0.2046986345
114	0.2039402562
115	0.2034310825
116	0.2032478163
117	0.2031329825
118	0.2029978194
119	0.2026636471
120	0.2024941225
121	0.2019654992
122	0.2018858685
123	0.2017548154
124	0.2013890327
125	0.2010753464
126	0.2006923658
127	0.2005759777
128	0.200099282
129	0.1998428393
130	0.1996756723
131	0.1992979568
132	0.1989489102
133	0.1988608399
134	0.1986620117
135	0.1984737635
136	0.1982536026
137	0.1980787329
138	0.1980139422
139	0.197813122
140	0.1974625884
141	0.1973164079
142	0.1972020344
143	0.197183828
144	0.1971554247
145	0.1966465204
146	0.1962305197
147	0.195741586
148	0.1956811671
149	0.1952963804
150	0.1949571902
151	0.1948711197
152	0.1945997022
153	0.194363816
154	0.1942011712
155	0.1939952416
156	0.1937345312
157	0.193425507
158	0.193038937
159	0.192916204
160	0.1928090202
161	0.1926121799
162	0.1923761673
163	0.19217267
164	0.1918547802
165	0.1916302504
166	0.1912450471
167	0.1904251025
168	0.1901181767
169	0.1900196144
170	0.1898487559
171	0.1896484905
172	0.1894087518
173	0.1893526918
174	0.18917123
175	0.1888978888
176	0.1887361821
177	0.188448178
178	0.188311813
179	0.1881958772
180	0.1879091347
181	0.1877357402
182	0.1871577455
183	0.1871109058
184	0.18703446
185	0.1868838147
186	0.186690252
187	0.1862510187
188	0.1862327449
189	0.1860929464
190	0.1858192374
191	0.1854665677
192	0.18533818
193	0.1845939909
194	0.1845807405
195	0.1844338007
196	0.1839754504
197	0.1836708407
198	0.1834583302
199	0.183278135
