iter	Passed	Remaining
0	80	16098
1	132	13108
2	150	9889
3	209	10267
4	293	11443
5	320	10357
6	408	11268
7	492	11826
8	578	12268
9	662	12582
10	750	12897
11	837	13125
12	931	13398
13	1012	13456
14	1100	13572
15	1185	13637
16	1272	13698
17	1330	13453
18	1420	13529
19	1502	13525
20	1586	13523
21	1632	13211
22	1710	13165
23	1790	13126
24	1871	13097
25	1953	13071
26	2032	13020
27	2117	13008
28	2206	13011
29	2296	13014
30	2381	12985
31	2464	12937
32	2553	12920
33	2634	12862
34	2717	12809
35	2801	12760
36	2879	12686
37	2964	12638
38	3042	12560
39	3123	12494
40	3207	12439
41	3287	12367
42	3371	12310
43	3456	12254
44	3532	12168
45	3617	12111
46	3699	12042
47	3778	11966
48	3856	11884
49	3943	11831
50	4029	11771
51	4120	11727
52	4203	11658
53	4280	11572
54	4374	11532
55	4458	11464
56	4549	11413
57	4628	11332
58	4719	11278
59	4798	11195
60	4878	11116
61	4966	11055
62	5051	10985
63	5129	10899
64	5210	10820
65	5299	10758
66	5377	10675
67	5454	10589
68	5536	10511
69	5613	10425
70	5693	10344
71	5778	10273
72	5866	10206
73	5953	10137
74	6038	10063
75	6127	9996
76	6208	9917
77	6292	9841
78	6380	9773
79	6470	9705
80	6557	9633
81	6645	9563
82	6731	9489
83	6811	9406
84	6895	9329
85	6983	9257
86	7071	9184
87	7149	9099
88	7228	9015
89	7307	8931
90	7389	8851
91	7477	8777
92	7558	8696
93	7641	8616
94	7724	8537
95	7806	8457
96	7892	8380
97	7981	8307
98	8067	8230
99	8154	8154
100	8235	8072
101	8323	7997
102	8410	7920
103	8504	7850
104	8588	7770
105	8673	7691
106	8758	7612
107	8837	7527
108	8918	7445
109	9002	7365
110	9094	7291
111	9178	7211
112	9260	7130
113	9347	7051
114	9423	6965
115	9502	6881
116	9585	6800
117	9664	6716
118	9750	6637
119	9839	6559
120	9901	6464
121	9953	6363
122	10006	6264
123	10047	6158
124	10096	6058
125	10143	5957
126	10190	5857
127	10242	5761
128	10292	5664
129	10340	5567
130	10393	5474
131	10440	5378
132	10489	5283
133	10542	5192
134	10590	5098
135	10635	5005
136	10682	4912
137	10728	4819
138	10771	4727
139	10819	4636
140	10863	4545
141	10914	4457
142	10968	4371
143	11013	4283
144	11060	4195
145	11107	4108
146	11153	4021
147	11196	3933
148	11238	3846
149	11285	3761
150	11334	3678
151	11379	3593
152	11419	3508
153	11471	3426
154	11522	3345
155	11569	3263
156	11641	3188
157	11717	3114
158	11767	3034
159	11813	2953
160	11865	2874
161	11925	2797
162	12009	2726
163	12053	2645
164	12108	2568
165	12155	2489
166	12210	2412
167	12258	2334
168	12311	2258
169	12357	2180
170	12409	2104
171	12466	2029
172	12514	1953
173	12569	1878
174	12619	1802
175	12668	1727
176	12712	1651
177	12755	1576
178	12804	1502
179	12851	1427
180	12894	1353
181	12941	1279
182	12985	1206
183	13031	1133
184	13075	1060
185	13135	988
186	13222	919
187	13284	847
188	13327	775
189	13367	703
190	13415	632
191	13461	560
192	13505	489
193	13555	419
194	13606	348
195	13652	278
196	13706	208
197	13762	139
198	13808	69
199	13860	0
