iter	Passed	Remaining
0	35	7024
1	67	6705
2	95	6246
3	143	7054
4	189	7398
5	240	7777
6	285	7877
7	334	8036
8	379	8045
9	424	8071
10	468	8041
11	510	7994
12	557	8020
13	599	7966
14	641	7910
15	659	7585
16	707	7611
17	762	7709
18	809	7715
19	855	7703
20	873	7446
21	915	7404
22	959	7381
23	1005	7370
24	1045	7317
25	1092	7312
26	1134	7268
27	1179	7247
28	1225	7227
29	1271	7206
30	1314	7166
31	1355	7117
32	1401	7092
33	1450	7080
34	1496	7053
35	1540	7019
36	1593	7019
37	1641	6996
38	1688	6972
39	1737	6949
40	1787	6930
41	1839	6919
42	1886	6886
43	1934	6857
44	1980	6821
45	2027	6787
46	2079	6767
47	2128	6740
48	2177	6709
49	2223	6669
50	2272	6639
51	2317	6596
52	2366	6564
53	2413	6525
54	2462	6493
55	2512	6461
56	2553	6406
57	2600	6365
58	2641	6312
59	2694	6286
60	2749	6264
61	2799	6230
62	2846	6189
63	2889	6139
64	2931	6087
65	2974	6040
66	3015	5986
67	3059	5939
68	3106	5897
69	3157	5863
70	3202	5818
71	3246	5772
72	3291	5726
73	3338	5683
74	3389	5649
75	3436	5607
76	3483	5564
77	3530	5522
78	3582	5486
79	3633	5450
80	3682	5409
81	3733	5372
82	3790	5343
83	3838	5300
84	3886	5257
85	3933	5214
86	3983	5173
87	4031	5131
88	4076	5084
89	4123	5039
90	4168	4993
91	4221	4955
92	4270	4912
93	4322	4874
94	4405	4869
95	4489	4863
96	4542	4822
97	4589	4776
98	4640	4733
99	4694	4694
100	4742	4648
101	4795	4607
102	4848	4565
103	4930	4551
104	5000	4524
105	5045	4473
106	5088	4422
107	5139	4377
108	5217	4355
109	5294	4332
110	5340	4281
111	5390	4235
112	5436	4185
113	5482	4136
114	5529	4086
115	5580	4040
116	5624	3990
117	5673	3942
118	5728	3899
119	5783	3855
120	5836	3810
121	5904	3775
122	5998	3755
123	6091	3733
124	6167	3700
125	6251	3671
126	6343	3646
127	6428	3616
128	6521	3589
129	6596	3551
130	6679	3518
131	6757	3481
132	6839	3445
133	6920	3408
134	6999	3369
135	7083	3333
136	7166	3295
137	7252	3258
138	7334	3218
139	7421	3180
140	7504	3140
141	7588	3099
142	7675	3059
143	7758	3017
144	7846	2976
145	7931	2933
146	8021	2891
147	8107	2848
148	8192	2804
149	8272	2757
150	8363	2713
151	8452	2669
152	8542	2624
153	8625	2576
154	8706	2527
155	8784	2477
156	8863	2427
157	8955	2380
158	9041	2331
159	9123	2280
160	9201	2228
161	9271	2174
162	9349	2122
163	9429	2069
164	9517	2018
165	9607	1967
166	9691	1915
167	9777	1862
168	9859	1808
169	9938	1753
170	10024	1700
171	10106	1645
172	10189	1590
173	10270	1534
174	10351	1478
175	10440	1423
176	10530	1368
177	10608	1311
178	10696	1254
179	10772	1196
180	10847	1138
181	10927	1080
182	11004	1022
183	11085	963
184	11160	904
185	11244	846
186	11327	787
187	11406	728
188	11487	668
189	11577	609
190	11669	549
191	11757	489
192	11839	429
193	11929	368
194	12016	308
195	12106	247
196	12208	185
197	12301	124
198	12387	62
199	12484	0
