iter	Logloss
0	0.4476490598
1	0.3463607519
2	0.3008463113
3	0.2787245707
4	0.2673992561
5	0.2597999919
6	0.2569261522
7	0.2506496071
8	0.2493123586
9	0.2478871849
10	0.2466411554
11	0.2448917683
12	0.2440417242
13	0.2428750104
14	0.2421076264
15	0.2418713944
16	0.2411702357
17	0.2409912826
18	0.240469027
19	0.2397284572
20	0.239195665
21	0.2383096755
22	0.2375734258
23	0.2370153103
24	0.236736309
25	0.2364341086
26	0.2359554278
27	0.2345871518
28	0.2341407887
29	0.2337365427
30	0.2334946446
31	0.2329068704
32	0.2328161142
33	0.2326219357
34	0.232462814
35	0.2322990225
36	0.2316556676
37	0.231612482
38	0.2311482077
39	0.2306169422
40	0.2297430237
41	0.2296427935
42	0.2282266001
43	0.2277727801
44	0.2275347551
45	0.2273406735
46	0.2269324543
47	0.2266088058
48	0.2264152621
49	0.2259868842
50	0.2258035344
51	0.2253810728
52	0.2250184542
53	0.2241045251
54	0.2234389759
55	0.2234231283
56	0.2229069751
57	0.2224395161
58	0.2221951896
59	0.221980598
60	0.2215555175
61	0.2213748555
62	0.2211743826
63	0.2211506598
64	0.2205091218
65	0.2198971881
66	0.2196443258
67	0.2193418716
68	0.2189175449
69	0.2184263758
70	0.2180196185
71	0.2175549333
72	0.2170222054
73	0.2161021136
74	0.2158966875
75	0.2154425307
76	0.2145395224
77	0.2145088713
78	0.2141174457
79	0.2139387567
80	0.2138356795
81	0.2137266838
82	0.2137027526
83	0.2134980948
84	0.2130256589
85	0.2127925659
86	0.2126621701
87	0.2123414864
88	0.2122922401
89	0.2121367581
90	0.2119372271
91	0.211573013
92	0.2115052125
93	0.2110681716
94	0.2105413292
95	0.2103172536
96	0.2098822231
97	0.2097421856
98	0.2096520475
99	0.2095153185
100	0.2089701791
101	0.2087550081
102	0.2085331798
103	0.2083072606
104	0.2080260181
105	0.2079776288
106	0.2077159122
107	0.2075758513
108	0.2074277651
109	0.2066960623
110	0.2064565597
111	0.2058809903
112	0.2058584146
113	0.2057258437
114	0.2052189729
115	0.2049145717
116	0.2046203594
117	0.2043857134
118	0.2040059374
119	0.2037986187
120	0.2036212899
121	0.2031516882
122	0.2030104354
123	0.2027127349
124	0.2026140967
125	0.2023527
126	0.2022342938
127	0.2021946298
128	0.2015596955
129	0.2012408049
130	0.2011272638
131	0.2005836372
132	0.2004736176
133	0.199940474
134	0.1998478493
135	0.1995815441
136	0.1993332366
137	0.1991420704
138	0.1989270821
139	0.1988107367
140	0.1984743252
141	0.1983852262
142	0.1982146341
143	0.1978748741
144	0.1975505221
145	0.1973464965
146	0.1970276922
147	0.1968872685
148	0.196622834
149	0.1965222026
150	0.1964201315
151	0.1962410464
152	0.1957881919
153	0.1954061037
154	0.195151098
155	0.1950621581
156	0.1949125897
157	0.1948597749
158	0.1942906641
159	0.194217361
160	0.1938600525
161	0.1933445896
162	0.1933065449
163	0.1931912439
164	0.1930749735
165	0.1927974933
166	0.1926140558
167	0.1922216376
168	0.1921065518
169	0.1918261878
170	0.1914644726
171	0.1913170419
172	0.1911546809
173	0.1910440785
174	0.1909326903
175	0.1907678189
176	0.1906206678
177	0.190426893
178	0.1897288175
179	0.1896186554
180	0.1890265565
181	0.1886994873
182	0.1881762889
183	0.1880712473
184	0.1878130922
185	0.1874218954
186	0.1870883825
187	0.1863003917
188	0.1862562208
189	0.1859363665
190	0.1854704675
191	0.1853262798
192	0.1850799502
193	0.1848276189
194	0.1847105699
195	0.184566826
196	0.1845356796
197	0.1841830591
198	0.1838418719
199	0.183631753
